trial_id,tratamento,tempo_ms,bytes,status_code,timestamp
1,REST,511.38,6557,200,2026-06-26T14:26:32.841724+00:00
2,GraphQL,482.86,82,200,2026-06-26T14:26:33.830158+00:00
3,REST,517.84,6557,200,2026-06-26T14:26:34.853751+00:00
4,GraphQL,416.02,87,200,2026-06-26T14:26:35.775815+00:00
5,REST,626.42,6822,200,2026-06-26T14:26:36.904380+00:00
6,GraphQL,515.96,81,200,2026-06-26T14:26:37.926305+00:00
7,REST,621.96,6037,200,2026-06-26T14:26:39.054065+00:00
8,GraphQL,414.18,87,200,2026-06-26T14:26:39.973929+00:00
9,REST,827.25,6035,200,2026-06-26T14:26:41.307506+00:00
10,GraphQL,415.29,82,200,2026-06-26T14:26:42.226701+00:00
11,REST,481.09,6037,200,2026-06-26T14:26:43.211268+00:00
12,GraphQL,458.66,83,200,2026-06-26T14:26:44.171861+00:00
13,REST,518.41,6037,200,2026-06-26T14:26:45.196163+00:00
14,GraphQL,415.28,81,200,2026-06-26T14:26:46.117396+00:00
15,REST,724.69,6822,200,2026-06-26T14:26:47.347364+00:00
16,GraphQL,517.1,82,200,2026-06-26T14:26:48.370495+00:00
17,REST,517.98,6037,200,2026-06-26T14:26:49.394341+00:00
18,GraphQL,624.13,81,200,2026-06-26T14:26:50.520618+00:00
19,REST,1031.86,6035,200,2026-06-26T14:26:52.058860+00:00
20,GraphQL,622.24,82,200,2026-06-26T14:26:53.184006+00:00
21,REST,489.7,6037,200,2026-06-26T14:26:54.180275+00:00
22,GraphQL,372.79,83,200,2026-06-26T14:26:55.058991+00:00
23,REST,855.96,6035,200,2026-06-26T14:26:56.420455+00:00
24,GraphQL,424.37,83,200,2026-06-26T14:26:57.351001+00:00
25,REST,488.63,6557,200,2026-06-26T14:26:58.346455+00:00
26,GraphQL,392.44,83,200,2026-06-26T14:26:59.246521+00:00
27,REST,647.32,6517,200,2026-06-26T14:27:00.399001+00:00
28,GraphQL,393.01,83,200,2026-06-26T14:27:01.298571+00:00
29,REST,594.35,6557,200,2026-06-26T14:27:02.398787+00:00
30,GraphQL,437.51,82,200,2026-06-26T14:27:03.342803+00:00
31,REST,514.14,6822,200,2026-06-26T14:27:04.359868+00:00
32,GraphQL,399.89,87,200,2026-06-26T14:27:05.265928+00:00
33,REST,623.03,6517,200,2026-06-26T14:27:06.394984+00:00
34,GraphQL,391.33,82,200,2026-06-26T14:27:07.292454+00:00
35,REST,485.56,6037,200,2026-06-26T14:27:08.284100+00:00
36,GraphQL,404.53,82,200,2026-06-26T14:27:09.194840+00:00
37,REST,563.0,6557,200,2026-06-26T14:27:10.264648+00:00
38,GraphQL,536.53,81,200,2026-06-26T14:27:11.307570+00:00
39,REST,722.51,6557,200,2026-06-26T14:27:12.536948+00:00
40,GraphQL,490.18,83,200,2026-06-26T14:27:13.532957+00:00
41,REST,1056.85,6035,200,2026-06-26T14:27:15.095610+00:00
42,GraphQL,517.68,83,200,2026-06-26T14:27:16.119154+00:00
43,REST,929.7,6035,200,2026-06-26T14:27:17.554725+00:00
44,GraphQL,516.48,82,200,2026-06-26T14:27:18.577354+00:00
45,REST,714.96,6517,200,2026-06-26T14:27:19.796960+00:00
46,GraphQL,424.75,87,200,2026-06-26T14:27:20.729025+00:00
47,REST,562.25,6557,200,2026-06-26T14:27:21.793160+00:00
48,GraphQL,478.25,81,200,2026-06-26T14:27:22.776153+00:00
49,REST,492.28,6037,200,2026-06-26T14:27:23.774831+00:00
50,GraphQL,338.96,83,200,2026-06-26T14:27:24.617263+00:00
51,REST,621.96,6822,200,2026-06-26T14:27:25.745781+00:00
52,GraphQL,619.43,83,200,2026-06-26T14:27:26.871900+00:00
53,REST,521.26,6037,200,2026-06-26T14:27:27.895233+00:00
54,GraphQL,428.4,83,200,2026-06-26T14:27:28.827243+00:00
55,REST,568.48,6822,200,2026-06-26T14:27:29.902258+00:00
56,GraphQL,400.79,82,200,2026-06-26T14:27:30.809116+00:00
57,REST,825.96,6035,200,2026-06-26T14:27:32.141539+00:00
58,GraphQL,438.1,81,200,2026-06-26T14:27:33.081588+00:00
59,REST,890.74,6035,200,2026-06-26T14:27:34.476101+00:00
60,GraphQL,595.57,83,200,2026-06-26T14:27:35.575260+00:00
