trial_id,tratamento,tempo_ms,bytes,status_code,timestamp
1,REST,958.27,6035,200,2026-06-26T14:19:55.823650+00:00
2,GraphQL,518.58,82,200,2026-06-26T14:19:56.843958+00:00
3,REST,1031.77,6035,200,2026-06-26T14:19:58.381386+00:00
4,GraphQL,414.62,82,200,2026-06-26T14:19:59.301266+00:00
5,REST,1030.06,6035,200,2026-06-26T14:20:00.837279+00:00
6,GraphQL,415.84,82,200,2026-06-26T14:20:01.758845+00:00
7,REST,828.59,6035,200,2026-06-26T14:20:03.090426+00:00
8,GraphQL,415.69,82,200,2026-06-26T14:20:04.011948+00:00
9,REST,1033.52,6035,200,2026-06-26T14:20:05.551139+00:00
10,GraphQL,336.97,82,200,2026-06-26T14:20:06.393959+00:00
11,REST,1006.2,6035,200,2026-06-26T14:20:07.903877+00:00
12,GraphQL,517.0,82,200,2026-06-26T14:20:08.926624+00:00
13,REST,1034.75,6035,200,2026-06-26T14:20:10.466953+00:00
14,GraphQL,514.03,82,200,2026-06-26T14:20:11.486811+00:00
15,REST,826.03,6035,200,2026-06-26T14:20:12.818563+00:00
16,GraphQL,414.84,82,200,2026-06-26T14:20:13.739162+00:00
17,REST,929.01,6035,200,2026-06-26T14:20:15.173788+00:00
18,GraphQL,414.57,82,200,2026-06-26T14:20:16.094000+00:00
19,REST,929.11,6035,200,2026-06-26T14:20:17.528078+00:00
20,GraphQL,365.37,82,200,2026-06-26T14:20:18.399099+00:00
21,REST,980.74,6035,200,2026-06-26T14:20:19.886336+00:00
22,GraphQL,415.63,82,200,2026-06-26T14:20:20.804242+00:00
23,REST,884.55,6035,200,2026-06-26T14:20:22.193504+00:00
24,GraphQL,353.06,82,200,2026-06-26T14:20:23.052540+00:00
25,REST,1022.83,6035,200,2026-06-26T14:20:24.581227+00:00
26,GraphQL,377.91,82,200,2026-06-26T14:20:25.464118+00:00
27,REST,773.08,6035,200,2026-06-26T14:20:26.742567+00:00
28,GraphQL,518.99,82,200,2026-06-26T14:20:27.767457+00:00
29,REST,1037.73,6035,200,2026-06-26T14:20:29.306229+00:00
30,GraphQL,380.35,82,200,2026-06-26T14:20:30.192882+00:00
